Year,Variable,Measure,Country,Value
2000,Total hospital beds,Per 1 000 population,Austria,7.95
2001,Total hospital beds,Per 1 000 population,Austria,7.85
2002,Total hospital beds,Per 1 000 population,Austria,7.81
2003,Total hospital beds,Per 1 000 population,Austria,7.73
2004,Total hospital beds,Per 1 000 population,Austria,7.73
2005,Total hospital beds,Per 1 000 population,Austria,7.69
2006,Total hospital beds,Per 1 000 population,Austria,7.66
2007,Total hospital beds,Per 1 000 population,Austria,7.75
2008,Total hospital beds,Per 1 000 population,Austria,7.69
2009,Total hospital beds,Per 1 000 population,Austria,7.68
2010,Total hospital beds,Per 1 000 population,Austria,7.65
2011,Total hospital beds,Per 1 000 population,Austria,7.68
2012,Total hospital beds,Per 1 000 population,Austria,7.67
2013,Total hospital beds,Per 1 000 population,Austria,7.64
2014,Total hospital beds,Per 1 000 population,Austria,7.58
2015,Total hospital beds,Per 1 000 population,Austria,7.54
2016,Total hospital beds,Per 1 000 population,Austria,7.42
2017,Total hospital beds,Per 1 000 population,Austria,7.37
2018,Total hospital beds,Per 1 000 population,Austria,7.27
2019,Total hospital beds,Per 1 000 population,Austria,7.19
2000,Total hospital beds,Per 1 000 population,Belgium,6.72
2001,Total hospital beds,Per 1 000 population,Belgium,6.62
2002,Total hospital beds,Per 1 000 population,Belgium,6.54
2003,Total hospital beds,Per 1 000 population,Belgium,6.53
2004,Total hospital beds,Per 1 000 population,Belgium,6.48
2005,Total hospital beds,Per 1 000 population,Belgium,6.44
2006,Total hospital beds,Per 1 000 population,Belgium,6.35
2007,Total hospital beds,Per 1 000 population,Belgium,6.27
2008,Total hospital beds,Per 1 000 population,Belgium,6.25
2009,Total hospital beds,Per 1 000 population,Belgium,6.15
2010,Total hospital beds,Per 1 000 population,Belgium,6.12
2011,Total hospital beds,Per 1 000 population,Belgium,6.05
2012,Total hospital beds,Per 1 000 population,Belgium,5.99
2013,Total hospital beds,Per 1 000 population,Belgium,5.93
2014,Total hospital beds,Per 1 000 population,Belgium,5.85
2015,Total hospital beds,Per 1 000 population,Belgium,5.83
2016,Total hospital beds,Per 1 000 population,Belgium,5.76
2017,Total hospital beds,Per 1 000 population,Belgium,5.66
2018,Total hospital beds,Per 1 000 population,Belgium,5.62
2019,Total hospital beds,Per 1 000 population,Belgium,5.57
2020,Total hospital beds,Per 1 000 population,Belgium,5.54
2000,Total hospital beds,Per 1 000 population,Czech Republic,7.8
2001,Total hospital beds,Per 1 000 population,Czech Republic,7.77
2002,Total hospital beds,Per 1 000 population,Czech Republic,7.76
2003,Total hospital beds,Per 1 000 population,Czech Republic,7.73
2004,Total hospital beds,Per 1 000 population,Czech Republic,7.65
2005,Total hospital beds,Per 1 000 population,Czech Republic,7.57
2006,Total hospital beds,Per 1 000 population,Czech Republic,7.45
2007,Total hospital beds,Per 1 000 population,Czech Republic,7.33
2008,Total hospital beds,Per 1 000 population,Czech Republic,7.21
2009,Total hospital beds,Per 1 000 population,Czech Republic,7.14
2010,Total hospital beds,Per 1 000 population,Czech Republic,7.3
2011,Total hospital beds,Per 1 000 population,Czech Republic,7.06
2012,Total hospital beds,Per 1 000 population,Czech Republic,6.93
2013,Total hospital beds,Per 1 000 population,Czech Republic,6.7
2014,Total hospital beds,Per 1 000 population,Czech Republic,6.68
2015,Total hospital beds,Per 1 000 population,Czech Republic,6.67
2016,Total hospital beds,Per 1 000 population,Czech Republic,6.66
2017,Total hospital beds,Per 1 000 population,Czech Republic,6.63
2018,Total hospital beds,Per 1 000 population,Czech Republic,6.62
2019,Total hospital beds,Per 1 000 population,Czech Republic,6.58
2000,Total hospital beds,Per 1 000 population,France,7.97
2001,Total hospital beds,Per 1 000 population,France,7.83
2002,Total hospital beds,Per 1 000 population,France,7.71
2003,Total hospital beds,Per 1 000 population,France,7.55
2004,Total hospital beds,Per 1 000 population,France,7.39
2005,Total hospital beds,Per 1 000 population,France,7.22
2006,Total hospital beds,Per 1 000 population,France,7.11
2007,Total hospital beds,Per 1 000 population,France,7.06
2008,Total hospital beds,Per 1 000 population,France,6.9
2009,Total hospital beds,Per 1 000 population,France,6.66
2010,Total hospital beds,Per 1 000 population,France,6.43
2011,Total hospital beds,Per 1 000 population,France,6.36
2012,Total hospital beds,Per 1 000 population,France,6.34
2013,Total hospital beds,Per 1 000 population,France,6.28
2014,Total hospital beds,Per 1 000 population,France,6.2
2015,Total hospital beds,Per 1 000 population,France,6.13
2016,Total hospital beds,Per 1 000 population,France,6.06
2017,Total hospital beds,Per 1 000 population,France,5.98
2018,Total hospital beds,Per 1 000 population,France,5.9
2019,Total hospital beds,Per 1 000 population,France,5.84
2000,Total hospital beds,Per 1 000 population,Germany,9.12
2001,Total hospital beds,Per 1 000 population,Germany,9.01
2002,Total hospital beds,Per 1 000 population,Germany,8.87
2003,Total hospital beds,Per 1 000 population,Germany,8.74
2004,Total hospital beds,Per 1 000 population,Germany,8.58
2005,Total hospital beds,Per 1 000 population,Germany,8.47
2006,Total hospital beds,Per 1 000 population,Germany,8.3
2007,Total hospital beds,Per 1 000 population,Germany,8.24
2008,Total hospital beds,Per 1 000 population,Germany,8.21
2009,Total hospital beds,Per 1 000 population,Germany,8.24
2010,Total hospital beds,Per 1 000 population,Germany,8.25
2011,Total hospital beds,Per 1 000 population,Germany,8.38
2012,Total hospital beds,Per 1 000 population,Germany,8.34
2013,Total hospital beds,Per 1 000 population,Germany,8.28
2014,Total hospital beds,Per 1 000 population,Germany,8.23
2015,Total hospital beds,Per 1 000 population,Germany,8.13
2016,Total hospital beds,Per 1 000 population,Germany,8.06
